title,description,category,resolution,priority
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 1810 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 5700 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6344 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 7585 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2677 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2388 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 7067 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 8728 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 8728 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6803 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 5388 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 7052 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6896 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6482 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 9038 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 3104 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 9079 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2399 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 5590 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 8096 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6815 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 9289 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 2289 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6008 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 2625 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 1141 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4505 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 1740 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 7255 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 9721 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2994 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2824 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3884 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 1915 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2029 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2815 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 7583 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 9176 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3906 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 8758 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 1222 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 2708 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 1058 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 1935 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 9687 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6852 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6409 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4638 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 7410 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4505 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 2217 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6675 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 1708 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 7489 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6138 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 3141 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 3706 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6639 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2177 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 8755 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6785 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 4786 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3965 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 5202 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 7647 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6041 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 3306 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 3495 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 5076 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 9469 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6143 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 4226 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 1838 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 1169 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 4079 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 4864 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 8077 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 7671 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3544 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 5968 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6052 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4502 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4459 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 3843 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3538 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3921 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 5048 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 9966 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3308 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 5525 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2502 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3291 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 5303 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6727 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2003 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 8790 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 6823 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 4175 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6979 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 2611 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 5787 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 3740 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3858 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 8261 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 1135 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 9375 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 7729 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 5304 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4750 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 9441 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 7954 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 1183 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Low
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3899 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 5647 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 8655 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 8273 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 8687 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Critical
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4325 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 3180 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Medium
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 8021 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6027 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",Low
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 2098 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 9654 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Critical
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 6836 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 4044 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",Medium
Disk space full on server,Critical alert indicating disk space has reached 95% utilization on application server. Additional context: ticket ID 8262 reported by user.,Infrastructure,"Clean up unused files, archive logs, and extend disk capacity.",High
Server CPU usage high,Production server CPU usage has been consistently above 90% causing slow response times for multiple services. Additional context: ticket ID 4385 reported by user.,Infrastructure,"Investigate running processes, optimize workloads, and scale server resources.",High
Feature not loading,Dashboard analytics feature is not loading for multiple users. Additional context: ticket ID 4753 reported by user.,Application,"Verify backend service, fix API endpoint issue, and redeploy.",Low
Feature not loading,Dashboard analytics feature is not loading for multiple users. Additional context: ticket ID 8061 reported by user.,Application,"Verify backend service, fix API endpoint issue, and redeploy.",Medium
Feature not loading,Dashboard analytics feature is not loading for multiple users. Additional context: ticket ID 5227 reported by user.,Application,"Verify backend service, fix API endpoint issue, and redeploy.",Low
Feature not loading,Dashboard analytics feature is not loading for multiple users. Additional context: ticket ID 2703 reported by user.,Application,"Verify backend service, fix API endpoint issue, and redeploy.",High
App crashes on login,Users report that the application crashes immediately after entering credentials. Additional context: ticket ID 6933 reported by user.,Application,"Check application logs, fix null pointer exception, and deploy patch.",Low
Feature not loading,Dashboard analytics feature is not loading for multiple users. Additional context: ticket ID 2614 reported by user.,Application,"Verify backend service, fix API endpoint issue, and redeploy.",Medium
Feature not loading,Dashboard analytics feature is not loading for multiple users. Additional context: ticket ID 9393 reported by user.,Application,"Verify backend service, fix API endpoint issue, and redeploy.",High
App crashes on login,Users report that the application crashes immediately after entering credentials. Additional context: ticket ID 5909 reported by user.,Application,"Check application logs, fix null pointer exception, and deploy patch.",High
